"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 25 23:31:17 GMT 2022","Tue Oct 25 23:31:24 GMT 2022","6517","","Contact Us page","","Contact Us page","Form ""contact us"" with empty credentials","Form ""contact us"" with empty credentials",""
"passed","Tue Oct 25 23:38:22 GMT 2022","Tue Oct 25 23:38:42 GMT 2022","19410","","Blog page","","Blog page","should contain the name of the filters by content in the header of the articles","should contain the name of the filters by content in the header of the articles",""
"passed","Tue Oct 25 23:32:01 GMT 2022","Tue Oct 25 23:32:05 GMT 2022","4084","","Main page","","Main page","should after click on ""Talk to an expert"", switch to page Contact","should after click on ""Talk to an expert"", switch to page Contact",""
"passed","Tue Oct 25 23:37:40 GMT 2022","Tue Oct 25 23:37:51 GMT 2022","10820","","Register Page","","Register Page","should registration with incorrect email credentials","should registration with incorrect email credentials",""
"passed","Tue Oct 25 23:38:42 GMT 2022","Tue Oct 25 23:38:55 GMT 2022","13103","","Blog page","","Blog page","should contain the name of the filters by product in the header of the articles","should contain the name of the filters by product in the header of the articles",""
"passed","Tue Oct 25 23:39:04 GMT 2022","Tue Oct 25 23:39:08 GMT 2022","3616","","Blog page","","Blog page","should after click on ""Try for free"", contain title Sign Up","should after click on ""Try for free"", contain title Sign Up",""
"passed","Tue Oct 25 23:37:27 GMT 2022","Tue Oct 25 23:37:40 GMT 2022","13108","","Register Page","","Register Page","should registration with empty credentials","should registration with empty credentials",""
"passed","Tue Oct 25 23:32:05 GMT 2022","Tue Oct 25 23:32:08 GMT 2022","3638","","Main page","","Main page","should after move to Products, show right links","should after move to Products, show right links",""
"broken","Tue Oct 25 23:32:16 GMT 2022","Tue Oct 25 23:33:16 GMT 2022","60014","","Main page","","Main page","should have the correct title of all product links","should have the correct title of all product links",""
"passed","Tue Oct 25 23:38:55 GMT 2022","Tue Oct 25 23:38:57 GMT 2022","1982","","Blog page","","Blog page","should subscribe with empty email","should subscribe with empty email",""
"failed","Tue Oct 25 23:37:51 GMT 2022","Tue Oct 25 23:38:15 GMT 2022","24034","","Register Page","","Register Page","should registration with correct credentials","should registration with correct credentials",""
"passed","Tue Oct 25 23:31:53 GMT 2022","Tue Oct 25 23:31:56 GMT 2022","3412","","Main page","","Main page","should has buttons on the page header","should has buttons on the page header",""
"passed","Tue Oct 25 23:38:59 GMT 2022","Tue Oct 25 23:39:04 GMT 2022","4993","","Blog page","","Blog page","should after click on ""Talk to an expert"" link, switch to page Contact","should after click on ""Talk to an expert"" link, switch to page Contact",""
"passed","Tue Oct 25 23:38:57 GMT 2022","Tue Oct 25 23:38:59 GMT 2022","2128","","Blog page","","Blog page","should subscribe with right email","should subscribe with right email",""
"passed","Tue Oct 25 23:31:47 GMT 2022","Tue Oct 25 23:31:53 GMT 2022","5489","","Main page","","Main page","should show email on register page, after enter email on main page","should show email on register page, after enter email on main page",""
"broken","Tue Oct 25 23:33:16 GMT 2022","Tue Oct 25 23:34:16 GMT 2022","60031","","Main page","","Main page","should contain correct href for social links ","should contain correct href for social links ",""
"passed","Tue Oct 25 23:39:08 GMT 2022","Tue Oct 25 23:39:12 GMT 2022","4154","","Blog page","","Blog page","should after click on ""ebook"", contain name book","should after click on ""ebook"", contain name book",""
"passed","Tue Oct 25 23:32:08 GMT 2022","Tue Oct 25 23:32:16 GMT 2022","7340","","Main page","","Main page","should after move to Pricing, show right links","should after move to Pricing, show right links",""
"passed","Tue Oct 25 23:31:24 GMT 2022","Tue Oct 25 23:31:42 GMT 2022","18030","","Contact Us page","","Contact Us page","Fill out the ""contact us"" form","Fill out the ""contact us"" form",""
"passed","Tue Oct 25 23:31:56 GMT 2022","Tue Oct 25 23:32:01 GMT 2022","4322","","Main page","","Main page","should after click on ""Sign up"", contain title Sign Up","should after click on ""Sign up"", contain title Sign Up",""
