"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 25 23:54:16 GMT 2022","Tue Oct 25 23:54:23 GMT 2022","6423","","Contact Us page","","Contact Us page","Form ""contact us"" with empty credentials","Form ""contact us"" with empty credentials",""
"passed","Tue Oct 25 23:55:09 GMT 2022","Tue Oct 25 23:55:15 GMT 2022","5979","","Main page","","Main page","should after move to Pricing, show right links","should after move to Pricing, show right links",""
"passed","Wed Oct 26 00:01:41 GMT 2022","Wed Oct 26 00:01:45 GMT 2022","3765","","Blog page","","Blog page","should after click on ""Talk to an expert"" link, switch to page Contact","should after click on ""Talk to an expert"" link, switch to page Contact",""
"passed","Wed Oct 26 00:01:36 GMT 2022","Wed Oct 26 00:01:38 GMT 2022","2705","","Blog page","","Blog page","should subscribe with empty email","should subscribe with empty email",""
"passed","Tue Oct 25 23:54:23 GMT 2022","Tue Oct 25 23:54:40 GMT 2022","16884","","Contact Us page","","Contact Us page","Fill out the ""contact us"" form","Fill out the ""contact us"" form",""
"passed","Tue Oct 25 23:55:02 GMT 2022","Tue Oct 25 23:55:06 GMT 2022","3716","","Main page","","Main page","should after click on ""Talk to an expert"", switch to page Contact","should after click on ""Talk to an expert"", switch to page Contact",""
"broken","Wed Oct 26 00:01:19 GMT 2022","Wed Oct 26 00:01:19 GMT 2022","92","","Blog page","","Blog page","should contain the name of the filters by content in the header of the articles","should contain the name of the filters by content in the header of the articles",""
"passed","Wed Oct 26 00:01:48 GMT 2022","Wed Oct 26 00:01:52 GMT 2022","4102","","Blog page","","Blog page","should after click on ""ebook"", contain name book","should after click on ""ebook"", contain name book",""
"passed","Tue Oct 25 23:54:56 GMT 2022","Tue Oct 25 23:54:59 GMT 2022","3150","","Main page","","Main page","should has buttons on the page header","should has buttons on the page header",""
"passed","Wed Oct 26 00:00:24 GMT 2022","Wed Oct 26 00:00:35 GMT 2022","11510","","Register Page","","Register Page","should registration with empty credentials","should registration with empty credentials",""
"passed","Wed Oct 26 00:00:35 GMT 2022","Wed Oct 26 00:00:46 GMT 2022","11147","","Register Page","","Register Page","should registration with incorrect email credentials","should registration with incorrect email credentials",""
"broken","Tue Oct 25 23:56:15 GMT 2022","Tue Oct 25 23:57:15 GMT 2022","60018","","Main page","","Main page","should contain correct href for social links ","should contain correct href for social links ",""
"failed","Wed Oct 26 00:00:46 GMT 2022","Wed Oct 26 00:01:11 GMT 2022","24215","","Register Page","","Register Page","should registration with correct credentials","should registration with correct credentials",""
"passed","Tue Oct 25 23:55:06 GMT 2022","Tue Oct 25 23:55:09 GMT 2022","3478","","Main page","","Main page","should after move to Products, show right links","should after move to Products, show right links",""
"passed","Tue Oct 25 23:54:59 GMT 2022","Tue Oct 25 23:55:02 GMT 2022","3034","","Main page","","Main page","should after click on ""Sign up"", contain title Sign Up","should after click on ""Sign up"", contain title Sign Up",""
"passed","Wed Oct 26 00:01:45 GMT 2022","Wed Oct 26 00:01:48 GMT 2022","3784","","Blog page","","Blog page","should after click on ""Try for free"", contain title Sign Up","should after click on ""Try for free"", contain title Sign Up",""
"passed","Tue Oct 25 23:54:50 GMT 2022","Tue Oct 25 23:54:56 GMT 2022","5518","","Main page","","Main page","should show email on register page, after enter email on main page","should show email on register page, after enter email on main page",""
"passed","Wed Oct 26 00:01:19 GMT 2022","Wed Oct 26 00:01:36 GMT 2022","16895","","Blog page","","Blog page","should contain the name of the filters by product in the header of the articles","should contain the name of the filters by product in the header of the articles",""
"broken","Tue Oct 25 23:55:15 GMT 2022","Tue Oct 25 23:56:15 GMT 2022","60009","","Main page","","Main page","should have the correct title of all product links","should have the correct title of all product links",""
"passed","Wed Oct 26 00:01:38 GMT 2022","Wed Oct 26 00:01:41 GMT 2022","2374","","Blog page","","Blog page","should subscribe with right email","should subscribe with right email",""
