"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 26 00:18:19 GMT 2022","Wed Oct 26 00:18:23 GMT 2022","4675","","Contact Us page","","Contact Us page","Form ""contact us"" with empty credentials","Form ""contact us"" with empty credentials",""
"passed","Wed Oct 26 00:25:37 GMT 2022","Wed Oct 26 00:25:39 GMT 2022","2428","","Blog page","","Blog page","should subscribe with empty email","should subscribe with empty email",""
"passed","Wed Oct 26 00:18:55 GMT 2022","Wed Oct 26 00:18:58 GMT 2022","3153","","Main page","","Main page","should has buttons on the page header","should has buttons on the page header",""
"passed","Wed Oct 26 00:19:02 GMT 2022","Wed Oct 26 00:19:06 GMT 2022","4201","","Main page","","Main page","should after click on ""Talk to an expert"", switch to page Contact","should after click on ""Talk to an expert"", switch to page Contact",""
"passed","Wed Oct 26 00:25:39 GMT 2022","Wed Oct 26 00:25:42 GMT 2022","2578","","Blog page","","Blog page","should subscribe with right email","should subscribe with right email",""
"passed","Wed Oct 26 00:18:58 GMT 2022","Wed Oct 26 00:19:02 GMT 2022","3388","","Main page","","Main page","should after click on ""Sign up"", contain title Sign Up","should after click on ""Sign up"", contain title Sign Up",""
"passed","Wed Oct 26 00:25:42 GMT 2022","Wed Oct 26 00:25:45 GMT 2022","3266","","Blog page","","Blog page","should after click on ""Talk to an expert"" link, switch to page Contact","should after click on ""Talk to an expert"" link, switch to page Contact",""
"passed","Wed Oct 26 00:25:22 GMT 2022","Wed Oct 26 00:25:37 GMT 2022","14743","","Blog page","","Blog page","should contain the name of the filters by product in the header of the articles","should contain the name of the filters by product in the header of the articles",""
"passed","Wed Oct 26 00:24:27 GMT 2022","Wed Oct 26 00:24:37 GMT 2022","10278","","Register Page","","Register Page","should registration with empty credentials","should registration with empty credentials",""
"passed","Wed Oct 26 00:18:23 GMT 2022","Wed Oct 26 00:18:41 GMT 2022","17392","","Contact Us page","","Contact Us page","Fill out the ""contact us"" form","Fill out the ""contact us"" form",""
"broken","Wed Oct 26 00:19:13 GMT 2022","Wed Oct 26 00:20:13 GMT 2022","60009","","Main page","","Main page","should have the correct title of all product links","should have the correct title of all product links",""
"passed","Wed Oct 26 00:18:49 GMT 2022","Wed Oct 26 00:18:55 GMT 2022","6257","","Main page","","Main page","should show email on register page, after enter email on main page","should show email on register page, after enter email on main page",""
"passed","Wed Oct 26 00:25:50 GMT 2022","Wed Oct 26 00:25:54 GMT 2022","4291","","Blog page","","Blog page","should after click on ""ebook"", contain name book","should after click on ""ebook"", contain name book",""
"passed","Wed Oct 26 00:25:45 GMT 2022","Wed Oct 26 00:25:50 GMT 2022","4367","","Blog page","","Blog page","should after click on ""Try for free"", contain title Sign Up","should after click on ""Try for free"", contain title Sign Up",""
"passed","Wed Oct 26 00:19:10 GMT 2022","Wed Oct 26 00:19:13 GMT 2022","3380","","Main page","","Main page","should after move to Pricing, show right links","should after move to Pricing, show right links",""
"broken","Wed Oct 26 00:20:13 GMT 2022","Wed Oct 26 00:21:13 GMT 2022","60030","","Main page","","Main page","should contain correct href for social links ","should contain correct href for social links ",""
"passed","Wed Oct 26 00:19:06 GMT 2022","Wed Oct 26 00:19:10 GMT 2022","4194","","Main page","","Main page","should after move to Products, show right links","should after move to Products, show right links",""
"passed","Wed Oct 26 00:24:37 GMT 2022","Wed Oct 26 00:24:48 GMT 2022","11206","","Register Page","","Register Page","should registration with incorrect email credentials","should registration with incorrect email credentials",""
"broken","Wed Oct 26 00:25:22 GMT 2022","Wed Oct 26 00:25:22 GMT 2022","149","","Blog page","","Blog page","should contain the name of the filters by content in the header of the articles","should contain the name of the filters by content in the header of the articles",""
"failed","Wed Oct 26 00:24:48 GMT 2022","Wed Oct 26 00:25:12 GMT 2022","24078","","Register Page","","Register Page","should registration with correct credentials","should registration with correct credentials",""
