"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Oct 26 00:25:01 GMT 2022","Wed Oct 26 00:25:01 GMT 2022","53","","Blog page","","Blog page","should contain the name of the filters by content in the header of the articles","should contain the name of the filters by content in the header of the articles",""
"broken","Wed Oct 26 00:25:01 GMT 2022","Wed Oct 26 00:25:06 GMT 2022","4929","","Blog page","","Blog page","should contain the name of the filters by product in the header of the articles","should contain the name of the filters by product in the header of the articles",""
"passed","Wed Oct 26 00:18:57 GMT 2022","Wed Oct 26 00:18:59 GMT 2022","2197","","Main page","","Main page","should after move to Products, show right links","should after move to Products, show right links",""
"passed","Wed Oct 26 00:18:46 GMT 2022","Wed Oct 26 00:18:50 GMT 2022","3687","","Main page","","Main page","should show email on register page, after enter email on main page","should show email on register page, after enter email on main page",""
"broken","Wed Oct 26 00:20:02 GMT 2022","Wed Oct 26 00:21:02 GMT 2022","60008","","Main page","","Main page","should contain correct href for social links ","should contain correct href for social links ",""
"passed","Wed Oct 26 00:25:12 GMT 2022","Wed Oct 26 00:25:14 GMT 2022","2540","","Blog page","","Blog page","should after click on ""Try for free"", contain title Sign Up","should after click on ""Try for free"", contain title Sign Up",""
"passed","Wed Oct 26 00:24:21 GMT 2022","Wed Oct 26 00:24:31 GMT 2022","9751","","Register Page","","Register Page","should registration with incorrect email credentials","should registration with incorrect email credentials",""
"failed","Wed Oct 26 00:24:31 GMT 2022","Wed Oct 26 00:24:54 GMT 2022","22611","","Register Page","","Register Page","should registration with correct credentials","should registration with correct credentials",""
"passed","Wed Oct 26 00:18:55 GMT 2022","Wed Oct 26 00:18:57 GMT 2022","2591","","Main page","","Main page","should after click on ""Talk to an expert"", switch to page Contact","should after click on ""Talk to an expert"", switch to page Contact",""
"passed","Wed Oct 26 00:24:11 GMT 2022","Wed Oct 26 00:24:21 GMT 2022","10524","","Register Page","","Register Page","should registration with empty credentials","should registration with empty credentials",""
"passed","Wed Oct 26 00:18:59 GMT 2022","Wed Oct 26 00:19:02 GMT 2022","2910","","Main page","","Main page","should after move to Pricing, show right links","should after move to Pricing, show right links",""
"passed","Wed Oct 26 00:25:06 GMT 2022","Wed Oct 26 00:25:07 GMT 2022","1345","","Blog page","","Blog page","should subscribe with empty email","should subscribe with empty email",""
"passed","Wed Oct 26 00:25:07 GMT 2022","Wed Oct 26 00:25:09 GMT 2022","1403","","Blog page","","Blog page","should subscribe with right email","should subscribe with right email",""
"passed","Wed Oct 26 00:18:53 GMT 2022","Wed Oct 26 00:18:55 GMT 2022","1969","","Main page","","Main page","should after click on ""Sign up"", contain title Sign Up","should after click on ""Sign up"", contain title Sign Up",""
"broken","Wed Oct 26 00:19:02 GMT 2022","Wed Oct 26 00:20:02 GMT 2022","60004","","Main page","","Main page","should have the correct title of all product links","should have the correct title of all product links",""
"passed","Wed Oct 26 00:25:09 GMT 2022","Wed Oct 26 00:25:12 GMT 2022","3251","","Blog page","","Blog page","should after click on ""Talk to an expert"" link, switch to page Contact","should after click on ""Talk to an expert"" link, switch to page Contact",""
"passed","Wed Oct 26 00:25:14 GMT 2022","Wed Oct 26 00:25:17 GMT 2022","2601","","Blog page","","Blog page","should after click on ""ebook"", contain name book","should after click on ""ebook"", contain name book",""
"passed","Wed Oct 26 00:18:23 GMT 2022","Wed Oct 26 00:18:38 GMT 2022","15215","","Contact Us page","","Contact Us page","Fill out the ""contact us"" form","Fill out the ""contact us"" form",""
"passed","Wed Oct 26 00:18:20 GMT 2022","Wed Oct 26 00:18:23 GMT 2022","3463","","Contact Us page","","Contact Us page","Form ""contact us"" with empty credentials","Form ""contact us"" with empty credentials",""
"passed","Wed Oct 26 00:18:50 GMT 2022","Wed Oct 26 00:18:53 GMT 2022","3078","","Main page","","Main page","should has buttons on the page header","should has buttons on the page header",""
