"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 26 07:49:13 GMT 2022","Wed Oct 26 07:49:21 GMT 2022","7558","","Contact Us page","","Contact Us page","Form ""contact us"" with empty credentials","Form ""contact us"" with empty credentials",""
"broken","Wed Oct 26 07:51:34 GMT 2022","Wed Oct 26 07:52:34 GMT 2022","60042","","Main page","","Main page","should contain correct href for social links ","should contain correct href for social links ",""
"broken","Wed Oct 26 07:49:57 GMT 2022","Wed Oct 26 07:50:00 GMT 2022","2801","","Main page","","Main page","should after click on ""Talk to an expert"", switch to page Contact","should after click on ""Talk to an expert"", switch to page Contact",""
"broken","Wed Oct 26 07:51:00 GMT 2022","Wed Oct 26 07:52:00 GMT 2022","60008","","Main page","","Main page","should after move to Pricing, show right links","should after move to Pricing, show right links",""
"passed","Wed Oct 26 07:50:08 GMT 2022","Wed Oct 26 07:50:12 GMT 2022","4119","","Main page","","Main page","should has buttons on the page header","should has buttons on the page header",""
"passed","Wed Oct 26 07:49:21 GMT 2022","Wed Oct 26 07:49:43 GMT 2022","22118","","Contact Us page","","Contact Us page","Fill out the ""contact us"" form","Fill out the ""contact us"" form",""
"broken","Wed Oct 26 07:52:00 GMT 2022","Wed Oct 26 07:53:00 GMT 2022","60009","","Main page","","Main page","should have the correct title of all product links","should have the correct title of all product links",""
"failed","Wed Oct 26 07:49:51 GMT 2022","Wed Oct 26 07:49:54 GMT 2022","3402","","Main page","","Main page","should has buttons on the page header","should has buttons on the page header",""
"passed","Wed Oct 26 07:50:22 GMT 2022","Wed Oct 26 07:50:26 GMT 2022","4145","","Main page","","Main page","should after move to Products, show right links","should after move to Products, show right links",""
"passed","Wed Oct 26 07:50:17 GMT 2022","Wed Oct 26 07:50:22 GMT 2022","4984","","Main page","","Main page","should after click on ""Talk to an expert"", switch to page Contact","should after click on ""Talk to an expert"", switch to page Contact",""
"passed","Wed Oct 26 07:53:00 GMT 2022","Wed Oct 26 07:53:02 GMT 2022","1796","","Main page","","Main page","should contain correct href for social links ","should contain correct href for social links ",""
"passed","Wed Oct 26 07:50:26 GMT 2022","Wed Oct 26 07:50:34 GMT 2022","8447","","Main page","","Main page","should after move to Pricing, show right links","should after move to Pricing, show right links",""
"passed","Wed Oct 26 07:49:20 GMT 2022","Wed Oct 26 07:49:36 GMT 2022","16375","","Contact Us page","","Contact Us page","Fill out the ""contact us"" form","Fill out the ""contact us"" form",""
"passed","Wed Oct 26 07:49:45 GMT 2022","Wed Oct 26 07:49:51 GMT 2022","6147","","Main page","","Main page","should show email on register page, after enter email on main page","should show email on register page, after enter email on main page",""
"broken","Wed Oct 26 07:50:00 GMT 2022","Wed Oct 26 07:51:00 GMT 2022","60015","","Main page","","Main page","should after move to Products, show right links","should after move to Products, show right links",""
"passed","Wed Oct 26 07:49:59 GMT 2022","Wed Oct 26 07:50:08 GMT 2022","9477","","Main page","","Main page","should show email on register page, after enter email on main page","should show email on register page, after enter email on main page",""
"passed","Wed Oct 26 07:49:11 GMT 2022","Wed Oct 26 07:49:20 GMT 2022","8332","","Contact Us page","","Contact Us page","Form ""contact us"" with empty credentials","Form ""contact us"" with empty credentials",""
"broken","Wed Oct 26 07:49:54 GMT 2022","Wed Oct 26 07:49:57 GMT 2022","2857","","Main page","","Main page","should after click on ""Sign up"", contain title Sign Up","should after click on ""Sign up"", contain title Sign Up",""
"passed","Wed Oct 26 07:50:12 GMT 2022","Wed Oct 26 07:50:17 GMT 2022","4544","","Main page","","Main page","should after click on ""Sign up"", contain title Sign Up","should after click on ""Sign up"", contain title Sign Up",""
"broken","Wed Oct 26 07:50:34 GMT 2022","Wed Oct 26 07:51:34 GMT 2022","60007","","Main page","","Main page","should have the correct title of all product links","should have the correct title of all product links",""
