"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 26 07:24:36 GMT 2022","Wed Oct 26 07:24:39 GMT 2022","3429","","Main page","","Main page","should has buttons on the page header","should has buttons on the page header",""
"broken","Wed Oct 26 07:25:25 GMT 2022","Wed Oct 26 07:26:25 GMT 2022","60007","","Main page","","Main page","should after move to Pricing, show right links","should after move to Pricing, show right links",""
"broken","Wed Oct 26 07:26:00 GMT 2022","Wed Oct 26 07:27:00 GMT 2022","60041","","Main page","","Main page","should contain correct href for social links ","should contain correct href for social links ",""
"broken","Wed Oct 26 07:24:23 GMT 2022","Wed Oct 26 07:24:25 GMT 2022","1263","","Main page","","Main page","should after click on ""Talk to an expert"", switch to page Contact","should after click on ""Talk to an expert"", switch to page Contact",""
"passed","Wed Oct 26 07:23:38 GMT 2022","Wed Oct 26 07:23:48 GMT 2022","10186","","Contact Us page","","Contact Us page","Form ""contact us"" with empty credentials","Form ""contact us"" with empty credentials",""
"passed","Wed Oct 26 07:24:15 GMT 2022","Wed Oct 26 07:24:19 GMT 2022","3669","","Main page","","Main page","should show email on register page, after enter email on main page","should show email on register page, after enter email on main page",""
"broken","Wed Oct 26 07:24:25 GMT 2022","Wed Oct 26 07:25:25 GMT 2022","60013","","Main page","","Main page","should after move to Products, show right links","should after move to Products, show right links",""
"passed","Wed Oct 26 07:23:45 GMT 2022","Wed Oct 26 07:24:00 GMT 2022","15135","","Contact Us page","","Contact Us page","Fill out the ""contact us"" form","Fill out the ""contact us"" form",""
"broken","Wed Oct 26 07:24:22 GMT 2022","Wed Oct 26 07:24:23 GMT 2022","1276","","Main page","","Main page","should after click on ""Sign up"", contain title Sign Up","should after click on ""Sign up"", contain title Sign Up",""
"broken","Wed Oct 26 07:25:00 GMT 2022","Wed Oct 26 07:26:00 GMT 2022","60007","","Main page","","Main page","should have the correct title of all product links","should have the correct title of all product links",""
"failed","Wed Oct 26 07:24:19 GMT 2022","Wed Oct 26 07:24:22 GMT 2022","3165","","Main page","","Main page","should has buttons on the page header","should has buttons on the page header",""
"passed","Wed Oct 26 07:24:44 GMT 2022","Wed Oct 26 07:24:50 GMT 2022","5613","","Main page","","Main page","should after click on ""Talk to an expert"", switch to page Contact","should after click on ""Talk to an expert"", switch to page Contact",""
"broken","Wed Oct 26 07:26:25 GMT 2022","Wed Oct 26 07:27:25 GMT 2022","60008","","Main page","","Main page","should have the correct title of all product links","should have the correct title of all product links",""
"passed","Wed Oct 26 07:24:39 GMT 2022","Wed Oct 26 07:24:44 GMT 2022","4814","","Main page","","Main page","should after click on ""Sign up"", contain title Sign Up","should after click on ""Sign up"", contain title Sign Up",""
"passed","Wed Oct 26 07:23:36 GMT 2022","Wed Oct 26 07:23:45 GMT 2022","9343","","Contact Us page","","Contact Us page","Form ""contact us"" with empty credentials","Form ""contact us"" with empty credentials",""
"passed","Wed Oct 26 07:27:25 GMT 2022","Wed Oct 26 07:27:27 GMT 2022","2159","","Main page","","Main page","should contain correct href for social links ","should contain correct href for social links ",""
"passed","Wed Oct 26 07:24:28 GMT 2022","Wed Oct 26 07:24:36 GMT 2022","7528","","Main page","","Main page","should show email on register page, after enter email on main page","should show email on register page, after enter email on main page",""
"passed","Wed Oct 26 07:23:48 GMT 2022","Wed Oct 26 07:24:10 GMT 2022","21223","","Contact Us page","","Contact Us page","Fill out the ""contact us"" form","Fill out the ""contact us"" form",""
"passed","Wed Oct 26 07:24:50 GMT 2022","Wed Oct 26 07:24:56 GMT 2022","6580","","Main page","","Main page","should after move to Products, show right links","should after move to Products, show right links",""
"passed","Wed Oct 26 07:24:56 GMT 2022","Wed Oct 26 07:25:00 GMT 2022","3885","","Main page","","Main page","should after move to Pricing, show right links","should after move to Pricing, show right links",""
