"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 25 23:51:18 GMT 2022","Tue Oct 25 23:51:21 GMT 2022","2428","","Blog page","","Blog page","should subscribe with empty email","should subscribe with empty email",""
"passed","Tue Oct 25 23:43:34 GMT 2022","Tue Oct 25 23:43:39 GMT 2022","5045","","Contact Us page","","Contact Us page","Form ""contact us"" with empty credentials","Form ""contact us"" with empty credentials",""
"passed","Tue Oct 25 23:44:12 GMT 2022","Tue Oct 25 23:44:15 GMT 2022","3130","","Main page","","Main page","should has buttons on the page header","should has buttons on the page header",""
"passed","Tue Oct 25 23:44:15 GMT 2022","Tue Oct 25 23:44:19 GMT 2022","3724","","Main page","","Main page","should after click on ""Sign up"", contain title Sign Up","should after click on ""Sign up"", contain title Sign Up",""
"passed","Tue Oct 25 23:43:39 GMT 2022","Tue Oct 25 23:43:58 GMT 2022","18968","","Contact Us page","","Contact Us page","Fill out the ""contact us"" form","Fill out the ""contact us"" form",""
"passed","Tue Oct 25 23:51:05 GMT 2022","Tue Oct 25 23:51:18 GMT 2022","13123","","Blog page","","Blog page","should contain the name of the filters by product in the header of the articles","should contain the name of the filters by product in the header of the articles",""
"passed","Tue Oct 25 23:44:06 GMT 2022","Tue Oct 25 23:44:12 GMT 2022","5797","","Main page","","Main page","should show email on register page, after enter email on main page","should show email on register page, after enter email on main page",""
"passed","Tue Oct 25 23:44:27 GMT 2022","Tue Oct 25 23:44:37 GMT 2022","9563","","Main page","","Main page","should after move to Pricing, show right links","should after move to Pricing, show right links",""
"passed","Tue Oct 25 23:51:31 GMT 2022","Tue Oct 25 23:51:36 GMT 2022","4672","","Blog page","","Blog page","should after click on ""ebook"", contain name book","should after click on ""ebook"", contain name book",""
"passed","Tue Oct 25 23:44:23 GMT 2022","Tue Oct 25 23:44:27 GMT 2022","4238","","Main page","","Main page","should after move to Products, show right links","should after move to Products, show right links",""
"broken","Tue Oct 25 23:45:37 GMT 2022","Tue Oct 25 23:46:37 GMT 2022","60032","","Main page","","Main page","should contain correct href for social links ","should contain correct href for social links ",""
"passed","Tue Oct 25 23:49:50 GMT 2022","Tue Oct 25 23:50:00 GMT 2022","10364","","Register Page","","Register Page","should registration with empty credentials","should registration with empty credentials",""
"passed","Tue Oct 25 23:51:21 GMT 2022","Tue Oct 25 23:51:23 GMT 2022","2625","","Blog page","","Blog page","should subscribe with right email","should subscribe with right email",""
"passed","Tue Oct 25 23:51:23 GMT 2022","Tue Oct 25 23:51:27 GMT 2022","3861","","Blog page","","Blog page","should after click on ""Talk to an expert"" link, switch to page Contact","should after click on ""Talk to an expert"" link, switch to page Contact",""
"passed","Tue Oct 25 23:50:00 GMT 2022","Tue Oct 25 23:50:12 GMT 2022","11694","","Register Page","","Register Page","should registration with incorrect email credentials","should registration with incorrect email credentials",""
"passed","Tue Oct 25 23:50:45 GMT 2022","Tue Oct 25 23:51:05 GMT 2022","19942","","Blog page","","Blog page","should contain the name of the filters by content in the header of the articles","should contain the name of the filters by content in the header of the articles",""
"failed","Tue Oct 25 23:50:12 GMT 2022","Tue Oct 25 23:50:37 GMT 2022","25252","","Register Page","","Register Page","should registration with correct credentials","should registration with correct credentials",""
"broken","Tue Oct 25 23:44:37 GMT 2022","Tue Oct 25 23:45:37 GMT 2022","60017","","Main page","","Main page","should have the correct title of all product links","should have the correct title of all product links",""
"passed","Tue Oct 25 23:44:19 GMT 2022","Tue Oct 25 23:44:23 GMT 2022","4068","","Main page","","Main page","should after click on ""Talk to an expert"", switch to page Contact","should after click on ""Talk to an expert"", switch to page Contact",""
"passed","Tue Oct 25 23:51:27 GMT 2022","Tue Oct 25 23:51:31 GMT 2022","4173","","Blog page","","Blog page","should after click on ""Try for free"", contain title Sign Up","should after click on ""Try for free"", contain title Sign Up",""
