"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 26 00:26:09 GMT 2022","Wed Oct 26 00:26:20 GMT 2022","11368","","Register Page","","Register Page","should registration with incorrect email credentials","should registration with incorrect email credentials",""
"passed","Wed Oct 26 00:20:44 GMT 2022","Wed Oct 26 00:20:47 GMT 2022","2531","","Main page","","Main page","should after move to Pricing, show right links","should after move to Pricing, show right links",""
"passed","Wed Oct 26 00:20:24 GMT 2022","Wed Oct 26 00:20:29 GMT 2022","5098","","Main page","","Main page","should show email on register page, after enter email on main page","should show email on register page, after enter email on main page",""
"passed","Wed Oct 26 00:20:33 GMT 2022","Wed Oct 26 00:20:36 GMT 2022","3283","","Main page","","Main page","should after click on ""Sign up"", contain title Sign Up","should after click on ""Sign up"", contain title Sign Up",""
"broken","Wed Oct 26 00:21:47 GMT 2022","Wed Oct 26 00:22:47 GMT 2022","60030","","Main page","","Main page","should contain correct href for social links ","should contain correct href for social links ",""
"passed","Wed Oct 26 00:27:30 GMT 2022","Wed Oct 26 00:27:34 GMT 2022","4165","","Blog page","","Blog page","should after click on ""Talk to an expert"" link, switch to page Contact","should after click on ""Talk to an expert"" link, switch to page Contact",""
"passed","Wed Oct 26 00:27:34 GMT 2022","Wed Oct 26 00:27:38 GMT 2022","3589","","Blog page","","Blog page","should after click on ""Try for free"", contain title Sign Up","should after click on ""Try for free"", contain title Sign Up",""
"passed","Wed Oct 26 00:25:59 GMT 2022","Wed Oct 26 00:26:09 GMT 2022","10212","","Register Page","","Register Page","should registration with empty credentials","should registration with empty credentials",""
"passed","Wed Oct 26 00:20:29 GMT 2022","Wed Oct 26 00:20:33 GMT 2022","3174","","Main page","","Main page","should has buttons on the page header","should has buttons on the page header",""
"passed","Wed Oct 26 00:27:13 GMT 2022","Wed Oct 26 00:27:25 GMT 2022","12908","","Blog page","","Blog page","should contain the name of the filters by product in the header of the articles","should contain the name of the filters by product in the header of the articles",""
"passed","Wed Oct 26 00:20:41 GMT 2022","Wed Oct 26 00:20:44 GMT 2022","3385","","Main page","","Main page","should after move to Products, show right links","should after move to Products, show right links",""
"passed","Wed Oct 26 00:27:28 GMT 2022","Wed Oct 26 00:27:30 GMT 2022","2235","","Blog page","","Blog page","should subscribe with right email","should subscribe with right email",""
"passed","Wed Oct 26 00:20:36 GMT 2022","Wed Oct 26 00:20:41 GMT 2022","4752","","Main page","","Main page","should after click on ""Talk to an expert"", switch to page Contact","should after click on ""Talk to an expert"", switch to page Contact",""
"broken","Wed Oct 26 00:20:47 GMT 2022","Wed Oct 26 00:21:47 GMT 2022","60008","","Main page","","Main page","should have the correct title of all product links","should have the correct title of all product links",""
"failed","Wed Oct 26 00:26:20 GMT 2022","Wed Oct 26 00:26:45 GMT 2022","24440","","Register Page","","Register Page","should registration with correct credentials","should registration with correct credentials",""
"passed","Wed Oct 26 00:27:25 GMT 2022","Wed Oct 26 00:27:28 GMT 2022","2165","","Blog page","","Blog page","should subscribe with empty email","should subscribe with empty email",""
"passed","Wed Oct 26 00:27:38 GMT 2022","Wed Oct 26 00:27:42 GMT 2022","4318","","Blog page","","Blog page","should after click on ""ebook"", contain name book","should after click on ""ebook"", contain name book",""
"passed","Wed Oct 26 00:26:53 GMT 2022","Wed Oct 26 00:27:13 GMT 2022","19133","","Blog page","","Blog page","should contain the name of the filters by content in the header of the articles","should contain the name of the filters by content in the header of the articles",""
"passed","Wed Oct 26 00:19:54 GMT 2022","Wed Oct 26 00:19:58 GMT 2022","3935","","Contact Us page","","Contact Us page","Form ""contact us"" with empty credentials","Form ""contact us"" with empty credentials",""
"passed","Wed Oct 26 00:19:58 GMT 2022","Wed Oct 26 00:20:17 GMT 2022","19335","","Contact Us page","","Contact Us page","Fill out the ""contact us"" form","Fill out the ""contact us"" form",""
