"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 25 22:21:10 GMT 2022","Tue Oct 25 22:21:14 GMT 2022","3831","","Blog page","","Blog page","should after click on ""ebook"", contain name book","should after click on ""ebook"", contain name book",""
"passed","Tue Oct 25 22:13:57 GMT 2022","Tue Oct 25 22:14:02 GMT 2022","5124","","Main page","","Main page","should show email on register page, after enter email on main page","should show email on register page, after enter email on main page",""
"passed","Tue Oct 25 22:14:17 GMT 2022","Tue Oct 25 22:14:19 GMT 2022","2393","","Main page","","Main page","should after move to Pricing, show right links","should after move to Pricing, show right links",""
"passed","Tue Oct 25 22:20:58 GMT 2022","Tue Oct 25 22:21:00 GMT 2022","1963","","Blog page","","Blog page","should subscribe with empty email","should subscribe with empty email",""
"passed","Tue Oct 25 22:14:09 GMT 2022","Tue Oct 25 22:14:13 GMT 2022","4563","","Main page","","Main page","should after click on ""Talk to an expert"", switch to page Contact","should after click on ""Talk to an expert"", switch to page Contact",""
"passed","Tue Oct 25 22:14:13 GMT 2022","Tue Oct 25 22:14:17 GMT 2022","3225","","Main page","","Main page","should after move to Products, show right links","should after move to Products, show right links",""
"failed","Tue Oct 25 22:19:52 GMT 2022","Tue Oct 25 22:20:17 GMT 2022","24406","","Register Page","","Register Page","should registration with correct credentials","should registration with correct credentials",""
"passed","Tue Oct 25 22:20:26 GMT 2022","Tue Oct 25 22:20:45 GMT 2022","18943","","Blog page","","Blog page","should contain the name of the filters by content in the header of the articles","should contain the name of the filters by content in the header of the articles",""
"broken","Tue Oct 25 22:15:19 GMT 2022","Tue Oct 25 22:16:19 GMT 2022","60034","","Main page","","Main page","should contain correct href for social links ","should contain correct href for social links ",""
"passed","Tue Oct 25 22:13:28 GMT 2022","Tue Oct 25 22:13:46 GMT 2022","18024","","Contact Us page","","Contact Us page","Fill out the ""contact us"" form","Fill out the ""contact us"" form",""
"passed","Tue Oct 25 22:20:45 GMT 2022","Tue Oct 25 22:20:58 GMT 2022","13101","","Blog page","","Blog page","should contain the name of the filters by product in the header of the articles","should contain the name of the filters by product in the header of the articles",""
"passed","Tue Oct 25 22:14:05 GMT 2022","Tue Oct 25 22:14:09 GMT 2022","3872","","Main page","","Main page","should after click on ""Sign up"", contain title Sign Up","should after click on ""Sign up"", contain title Sign Up",""
"passed","Tue Oct 25 22:13:23 GMT 2022","Tue Oct 25 22:13:28 GMT 2022","5405","","Contact Us page","","Contact Us page","Form ""contact us"" with empty credentials","Form ""contact us"" with empty credentials",""
"passed","Tue Oct 25 22:21:00 GMT 2022","Tue Oct 25 22:21:02 GMT 2022","2257","","Blog page","","Blog page","should subscribe with right email","should subscribe with right email",""
"passed","Tue Oct 25 22:19:41 GMT 2022","Tue Oct 25 22:19:52 GMT 2022","11313","","Register Page","","Register Page","should registration with incorrect email credentials","should registration with incorrect email credentials",""
"broken","Tue Oct 25 22:14:19 GMT 2022","Tue Oct 25 22:15:19 GMT 2022","60008","","Main page","","Main page","should have the correct title of all product links","should have the correct title of all product links",""
"passed","Tue Oct 25 22:21:02 GMT 2022","Tue Oct 25 22:21:07 GMT 2022","4716","","Blog page","","Blog page","should after click on ""Talk to an expert"" link, switch to page Contact","should after click on ""Talk to an expert"" link, switch to page Contact",""
"passed","Tue Oct 25 22:21:07 GMT 2022","Tue Oct 25 22:21:10 GMT 2022","3276","","Blog page","","Blog page","should after click on ""Try for free"", contain title Sign Up","should after click on ""Try for free"", contain title Sign Up",""
"passed","Tue Oct 25 22:19:30 GMT 2022","Tue Oct 25 22:19:41 GMT 2022","10504","","Register Page","","Register Page","should registration with empty credentials","should registration with empty credentials",""
"passed","Tue Oct 25 22:14:02 GMT 2022","Tue Oct 25 22:14:05 GMT 2022","3152","","Main page","","Main page","should has buttons on the page header","should has buttons on the page header",""
