"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 25 22:51:37 GMT 2022","Tue Oct 25 22:51:42 GMT 2022","5750","","Main page","","Main page","should after move to Products, show right links","should after move to Products, show right links",""
"passed","Tue Oct 25 22:57:02 GMT 2022","Tue Oct 25 22:57:12 GMT 2022","10677","","Register Page","","Register Page","should registration with empty credentials","should registration with empty credentials",""
"passed","Tue Oct 25 22:50:43 GMT 2022","Tue Oct 25 22:50:48 GMT 2022","4965","","Contact Us page","","Contact Us page","Form ""contact us"" with empty credentials","Form ""contact us"" with empty credentials",""
"broken","Tue Oct 25 22:51:46 GMT 2022","Tue Oct 25 22:52:46 GMT 2022","60025","","Main page","","Main page","should have the correct title of all product links","should have the correct title of all product links",""
"passed","Tue Oct 25 22:51:18 GMT 2022","Tue Oct 25 22:51:24 GMT 2022","6112","","Main page","","Main page","should show email on register page, after enter email on main page","should show email on register page, after enter email on main page",""
"passed","Tue Oct 25 22:58:30 GMT 2022","Tue Oct 25 22:58:32 GMT 2022","2293","","Blog page","","Blog page","should subscribe with empty email","should subscribe with empty email",""
"passed","Tue Oct 25 22:58:16 GMT 2022","Tue Oct 25 22:58:30 GMT 2022","13358","","Blog page","","Blog page","should contain the name of the filters by product in the header of the articles","should contain the name of the filters by product in the header of the articles",""
"passed","Tue Oct 25 22:51:42 GMT 2022","Tue Oct 25 22:51:46 GMT 2022","3703","","Main page","","Main page","should after move to Pricing, show right links","should after move to Pricing, show right links",""
"passed","Tue Oct 25 22:57:57 GMT 2022","Tue Oct 25 22:58:16 GMT 2022","19678","","Blog page","","Blog page","should contain the name of the filters by content in the header of the articles","should contain the name of the filters by content in the header of the articles",""
"passed","Tue Oct 25 22:57:12 GMT 2022","Tue Oct 25 22:57:24 GMT 2022","12017","","Register Page","","Register Page","should registration with incorrect email credentials","should registration with incorrect email credentials",""
"failed","Tue Oct 25 22:57:24 GMT 2022","Tue Oct 25 22:57:49 GMT 2022","25040","","Register Page","","Register Page","should registration with correct credentials","should registration with correct credentials",""
"passed","Tue Oct 25 22:58:35 GMT 2022","Tue Oct 25 22:58:39 GMT 2022","4023","","Blog page","","Blog page","should after click on ""Talk to an expert"" link, switch to page Contact","should after click on ""Talk to an expert"" link, switch to page Contact",""
"broken","Tue Oct 25 22:52:46 GMT 2022","Tue Oct 25 22:53:46 GMT 2022","60012","","Main page","","Main page","should contain correct href for social links ","should contain correct href for social links ",""
"passed","Tue Oct 25 22:50:48 GMT 2022","Tue Oct 25 22:51:07 GMT 2022","18920","","Contact Us page","","Contact Us page","Fill out the ""contact us"" form","Fill out the ""contact us"" form",""
"passed","Tue Oct 25 22:58:32 GMT 2022","Tue Oct 25 22:58:35 GMT 2022","2580","","Blog page","","Blog page","should subscribe with right email","should subscribe with right email",""
"passed","Tue Oct 25 22:51:27 GMT 2022","Tue Oct 25 22:51:32 GMT 2022","4832","","Main page","","Main page","should after click on ""Sign up"", contain title Sign Up","should after click on ""Sign up"", contain title Sign Up",""
"passed","Tue Oct 25 22:51:32 GMT 2022","Tue Oct 25 22:51:37 GMT 2022","4606","","Main page","","Main page","should after click on ""Talk to an expert"", switch to page Contact","should after click on ""Talk to an expert"", switch to page Contact",""
"passed","Tue Oct 25 22:58:42 GMT 2022","Tue Oct 25 22:58:47 GMT 2022","4851","","Blog page","","Blog page","should after click on ""ebook"", contain name book","should after click on ""ebook"", contain name book",""
"passed","Tue Oct 25 22:51:24 GMT 2022","Tue Oct 25 22:51:27 GMT 2022","3410","","Main page","","Main page","should has buttons on the page header","should has buttons on the page header",""
"passed","Tue Oct 25 22:58:39 GMT 2022","Tue Oct 25 22:58:42 GMT 2022","3857","","Blog page","","Blog page","should after click on ""Try for free"", contain title Sign Up","should after click on ""Try for free"", contain title Sign Up",""
