"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 26 00:34:30 GMT 2022","Wed Oct 26 00:34:33 GMT 2022","3060","","Main page","","Main page","should after move to Pricing, show right links","should after move to Pricing, show right links",""
"broken","Wed Oct 26 00:34:33 GMT 2022","Wed Oct 26 00:35:33 GMT 2022","60013","","Main page","","Main page","should have the correct title of all product links","should have the correct title of all product links",""
"passed","Wed Oct 26 00:33:46 GMT 2022","Wed Oct 26 00:33:49 GMT 2022","2971","","Blog page","","Blog page","should subscribe with right email","should subscribe with right email",""
"passed","Wed Oct 26 00:34:26 GMT 2022","Wed Oct 26 00:34:30 GMT 2022","3890","","Main page","","Main page","should after move to Products, show right links","should after move to Products, show right links",""
"passed","Wed Oct 26 00:32:16 GMT 2022","Wed Oct 26 00:32:31 GMT 2022","15479","","Register Page","","Register Page","should registration with empty credentials","should registration with empty credentials",""
"passed","Wed Oct 26 00:33:49 GMT 2022","Wed Oct 26 00:33:53 GMT 2022","3628","","Blog page","","Blog page","should after click on ""Talk to an expert"" link, switch to page Contact","should after click on ""Talk to an expert"" link, switch to page Contact",""
"broken","Wed Oct 26 00:35:33 GMT 2022","Wed Oct 26 00:36:33 GMT 2022","60041","","Main page","","Main page","should contain correct href for social links ","should contain correct href for social links ",""
"passed","Wed Oct 26 00:34:21 GMT 2022","Wed Oct 26 00:34:26 GMT 2022","4766","","Main page","","Main page","should after click on ""Talk to an expert"", switch to page Contact","should after click on ""Talk to an expert"", switch to page Contact",""
"failed","Wed Oct 26 00:32:47 GMT 2022","Wed Oct 26 00:33:14 GMT 2022","26834","","Register Page","","Register Page","should registration with correct credentials","should registration with correct credentials",""
"passed","Wed Oct 26 00:33:57 GMT 2022","Wed Oct 26 00:34:02 GMT 2022","4580","","Blog page","","Blog page","should after click on ""ebook"", contain name book","should after click on ""ebook"", contain name book",""
"passed","Wed Oct 26 00:34:17 GMT 2022","Wed Oct 26 00:34:21 GMT 2022","3919","","Main page","","Main page","should after click on ""Sign up"", contain title Sign Up","should after click on ""Sign up"", contain title Sign Up",""
"passed","Wed Oct 26 00:33:43 GMT 2022","Wed Oct 26 00:33:46 GMT 2022","2882","","Blog page","","Blog page","should subscribe with empty email","should subscribe with empty email",""
"passed","Wed Oct 26 00:33:53 GMT 2022","Wed Oct 26 00:33:57 GMT 2022","4187","","Blog page","","Blog page","should after click on ""Try for free"", contain title Sign Up","should after click on ""Try for free"", contain title Sign Up",""
"passed","Wed Oct 26 00:32:16 GMT 2022","Wed Oct 26 00:32:25 GMT 2022","9333","","Contact Us page","","Contact Us page","Form ""contact us"" with empty credentials","Form ""contact us"" with empty credentials",""
"passed","Wed Oct 26 00:34:14 GMT 2022","Wed Oct 26 00:34:17 GMT 2022","3144","","Main page","","Main page","should has buttons on the page header","should has buttons on the page header",""
"passed","Wed Oct 26 00:32:25 GMT 2022","Wed Oct 26 00:32:48 GMT 2022","22882","","Contact Us page","","Contact Us page","Fill out the ""contact us"" form","Fill out the ""contact us"" form",""
"passed","Wed Oct 26 00:33:06 GMT 2022","Wed Oct 26 00:33:29 GMT 2022","23483","","Blog page","","Blog page","should contain the name of the filters by content in the header of the articles","should contain the name of the filters by content in the header of the articles",""
"passed","Wed Oct 26 00:32:31 GMT 2022","Wed Oct 26 00:32:47 GMT 2022","16073","","Register Page","","Register Page","should registration with incorrect email credentials","should registration with incorrect email credentials",""
"passed","Wed Oct 26 00:33:29 GMT 2022","Wed Oct 26 00:33:43 GMT 2022","14112","","Blog page","","Blog page","should contain the name of the filters by product in the header of the articles","should contain the name of the filters by product in the header of the articles",""
"passed","Wed Oct 26 00:34:07 GMT 2022","Wed Oct 26 00:34:14 GMT 2022","7158","","Main page","","Main page","should show email on register page, after enter email on main page","should show email on register page, after enter email on main page",""
