"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 25 22:58:40 GMT 2022","Tue Oct 25 22:58:45 GMT 2022","5007","","Main page","","Main page","should show email on register page, after enter email on main page","should show email on register page, after enter email on main page",""
"passed","Tue Oct 25 22:58:16 GMT 2022","Tue Oct 25 22:58:33 GMT 2022","17671","","Contact Us page","","Contact Us page","Fill out the ""contact us"" form","Fill out the ""contact us"" form",""
"passed","Tue Oct 25 22:58:59 GMT 2022","Tue Oct 25 22:59:06 GMT 2022","6792","","Main page","","Main page","should after move to Pricing, show right links","should after move to Pricing, show right links",""
"passed","Tue Oct 25 23:05:51 GMT 2022","Tue Oct 25 23:05:55 GMT 2022","3688","","Blog page","","Blog page","should after click on ""Talk to an expert"" link, switch to page Contact","should after click on ""Talk to an expert"" link, switch to page Contact",""
"passed","Tue Oct 25 22:58:55 GMT 2022","Tue Oct 25 22:58:59 GMT 2022","3955","","Main page","","Main page","should after move to Products, show right links","should after move to Products, show right links",""
"broken","Tue Oct 25 23:00:06 GMT 2022","Tue Oct 25 23:01:06 GMT 2022","60030","","Main page","","Main page","should contain correct href for social links ","should contain correct href for social links ",""
"passed","Tue Oct 25 22:58:10 GMT 2022","Tue Oct 25 22:58:16 GMT 2022","5421","","Contact Us page","","Contact Us page","Form ""contact us"" with empty credentials","Form ""contact us"" with empty credentials",""
"passed","Tue Oct 25 22:58:48 GMT 2022","Tue Oct 25 22:58:52 GMT 2022","3555","","Main page","","Main page","should after click on ""Sign up"", contain title Sign Up","should after click on ""Sign up"", contain title Sign Up",""
"broken","Tue Oct 25 22:59:06 GMT 2022","Tue Oct 25 23:00:06 GMT 2022","60011","","Main page","","Main page","should have the correct title of all product links","should have the correct title of all product links",""
"passed","Tue Oct 25 23:04:19 GMT 2022","Tue Oct 25 23:04:30 GMT 2022","11047","","Register Page","","Register Page","should registration with empty credentials","should registration with empty credentials",""
"passed","Tue Oct 25 23:05:34 GMT 2022","Tue Oct 25 23:05:47 GMT 2022","13000","","Blog page","","Blog page","should contain the name of the filters by product in the header of the articles","should contain the name of the filters by product in the header of the articles",""
"passed","Tue Oct 25 23:05:47 GMT 2022","Tue Oct 25 23:05:49 GMT 2022","1892","","Blog page","","Blog page","should subscribe with empty email","should subscribe with empty email",""
"failed","Tue Oct 25 23:04:42 GMT 2022","Tue Oct 25 23:05:06 GMT 2022","24476","","Register Page","","Register Page","should registration with correct credentials","should registration with correct credentials",""
"passed","Tue Oct 25 23:04:30 GMT 2022","Tue Oct 25 23:04:42 GMT 2022","11336","","Register Page","","Register Page","should registration with incorrect email credentials","should registration with incorrect email credentials",""
"passed","Tue Oct 25 22:58:45 GMT 2022","Tue Oct 25 22:58:48 GMT 2022","3276","","Main page","","Main page","should has buttons on the page header","should has buttons on the page header",""
"passed","Tue Oct 25 22:58:52 GMT 2022","Tue Oct 25 22:58:55 GMT 2022","3821","","Main page","","Main page","should after click on ""Talk to an expert"", switch to page Contact","should after click on ""Talk to an expert"", switch to page Contact",""
"passed","Tue Oct 25 23:05:49 GMT 2022","Tue Oct 25 23:05:51 GMT 2022","2229","","Blog page","","Blog page","should subscribe with right email","should subscribe with right email",""
"passed","Tue Oct 25 23:05:14 GMT 2022","Tue Oct 25 23:05:34 GMT 2022","19407","","Blog page","","Blog page","should contain the name of the filters by content in the header of the articles","should contain the name of the filters by content in the header of the articles",""
"passed","Tue Oct 25 23:05:55 GMT 2022","Tue Oct 25 23:05:58 GMT 2022","3166","","Blog page","","Blog page","should after click on ""Try for free"", contain title Sign Up","should after click on ""Try for free"", contain title Sign Up",""
"passed","Tue Oct 25 23:05:58 GMT 2022","Tue Oct 25 23:06:02 GMT 2022","3903","","Blog page","","Blog page","should after click on ""ebook"", contain name book","should after click on ""ebook"", contain name book",""
