"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 26 00:57:37 GMT 2022","Wed Oct 26 00:57:42 GMT 2022","5370","","Blog page","","Blog page","should after click on ""Try for free"", contain title Sign Up","should after click on ""Try for free"", contain title Sign Up",""
"passed","Wed Oct 26 00:58:37 GMT 2022","Wed Oct 26 00:58:57 GMT 2022","20054","","Blog page","","Blog page","should contain the name of the filters by content in the header of the articles","should contain the name of the filters by content in the header of the articles",""
"passed","Wed Oct 26 00:53:05 GMT 2022","Wed Oct 26 00:53:11 GMT 2022","5607","","Main page","","Main page","should after move to Pricing, show right links","should after move to Pricing, show right links",""
"broken","Wed Oct 26 00:53:11 GMT 2022","Wed Oct 26 00:54:11 GMT 2022","60021","","Main page","","Main page","should have the correct title of all product links","should have the correct title of all product links",""
"passed","Wed Oct 26 00:59:13 GMT 2022","Wed Oct 26 00:59:16 GMT 2022","2620","","Blog page","","Blog page","should after click on ""Talk to an expert"" link, switch to page Contact","should after click on ""Talk to an expert"" link, switch to page Contact",""
"passed","Wed Oct 26 00:52:40 GMT 2022","Wed Oct 26 00:52:47 GMT 2022","6614","","Main page","","Main page","should show email on register page, after enter email on main page","should show email on register page, after enter email on main page",""
"passed","Wed Oct 26 00:52:23 GMT 2022","Wed Oct 26 00:52:35 GMT 2022","11916","","Contact Us page","","Contact Us page","Fill out the ""contact us"" form","Fill out the ""contact us"" form",""
"broken","Wed Oct 26 00:53:54 GMT 2022","Wed Oct 26 00:54:54 GMT 2022","60014","","Main page","","Main page","should after move to Pricing, show right links","should after move to Pricing, show right links",""
"passed","Wed Oct 26 00:57:35 GMT 2022","Wed Oct 26 00:57:37 GMT 2022","1717","","Blog page","","Blog page","should after click on ""Talk to an expert"" link, switch to page Contact","should after click on ""Talk to an expert"" link, switch to page Contact",""
"passed","Wed Oct 26 00:58:57 GMT 2022","Wed Oct 26 00:59:09 GMT 2022","12574","","Blog page","","Blog page","should contain the name of the filters by product in the header of the articles","should contain the name of the filters by product in the header of the articles",""
"passed","Wed Oct 26 00:59:19 GMT 2022","Wed Oct 26 00:59:22 GMT 2022","3112","","Blog page","","Blog page","should after click on ""ebook"", contain name book","should after click on ""ebook"", contain name book",""
"broken","Wed Oct 26 00:54:11 GMT 2022","Wed Oct 26 00:55:11 GMT 2022","60043","","Main page","","Main page","should contain correct href for social links ","should contain correct href for social links ",""
"passed","Wed Oct 26 00:59:16 GMT 2022","Wed Oct 26 00:59:19 GMT 2022","2937","","Blog page","","Blog page","should after click on ""Try for free"", contain title Sign Up","should after click on ""Try for free"", contain title Sign Up",""
"passed","Wed Oct 26 00:52:57 GMT 2022","Wed Oct 26 00:53:02 GMT 2022","4855","","Main page","","Main page","should after click on ""Talk to an expert"", switch to page Contact","should after click on ""Talk to an expert"", switch to page Contact",""
"passed","Wed Oct 26 00:57:33 GMT 2022","Wed Oct 26 00:57:35 GMT 2022","2438","","Blog page","","Blog page","should subscribe with right email","should subscribe with right email",""
"passed","Wed Oct 26 00:52:42 GMT 2022","Wed Oct 26 00:52:49 GMT 2022","7054","","Main page","","Main page","should show email on register page, after enter email on main page","should show email on register page, after enter email on main page",""
"broken","Wed Oct 26 00:52:54 GMT 2022","Wed Oct 26 00:53:54 GMT 2022","60007","","Main page","","Main page","should after move to Products, show right links","should after move to Products, show right links",""
"passed","Wed Oct 26 00:53:02 GMT 2022","Wed Oct 26 00:53:05 GMT 2022","2983","","Main page","","Main page","should after move to Products, show right links","should after move to Products, show right links",""
"passed","Wed Oct 26 00:52:52 GMT 2022","Wed Oct 26 00:52:57 GMT 2022","5169","","Main page","","Main page","should after click on ""Sign up"", contain title Sign Up","should after click on ""Sign up"", contain title Sign Up",""
"passed","Wed Oct 26 00:58:21 GMT 2022","Wed Oct 26 00:58:32 GMT 2022","10323","","Register Page","","Register Page","should registration with empty credentials","should registration with empty credentials",""
"broken","Wed Oct 26 00:54:54 GMT 2022","Wed Oct 26 00:55:54 GMT 2022","60008","","Main page","","Main page","should have the correct title of all product links","should have the correct title of all product links",""
"passed","Wed Oct 26 00:57:19 GMT 2022","Wed Oct 26 00:57:31 GMT 2022","12180","","Blog page","","Blog page","should contain the name of the filters by product in the header of the articles","should contain the name of the filters by product in the header of the articles",""
"passed","Wed Oct 26 00:55:54 GMT 2022","Wed Oct 26 00:55:55 GMT 2022","1203","","Main page","","Main page","should contain correct href for social links ","should contain correct href for social links ",""
"passed","Wed Oct 26 00:52:49 GMT 2022","Wed Oct 26 00:52:52 GMT 2022","3428","","Main page","","Main page","should has buttons on the page header","should has buttons on the page header",""
"failed","Wed Oct 26 00:56:26 GMT 2022","Wed Oct 26 00:56:50 GMT 2022","23905","","Register Page","","Register Page","should registration with correct credentials","should registration with correct credentials",""
"failed","Wed Oct 26 00:58:43 GMT 2022","Wed Oct 26 00:59:08 GMT 2022","25611","","Register Page","","Register Page","should registration with correct credentials","should registration with correct credentials",""
"passed","Wed Oct 26 00:56:15 GMT 2022","Wed Oct 26 00:56:26 GMT 2022","11082","","Register Page","","Register Page","should registration with incorrect email credentials","should registration with incorrect email credentials",""
"passed","Wed Oct 26 00:58:32 GMT 2022","Wed Oct 26 00:58:42 GMT 2022","10906","","Register Page","","Register Page","should registration with incorrect email credentials","should registration with incorrect email credentials",""
"passed","Wed Oct 26 00:57:00 GMT 2022","Wed Oct 26 00:57:19 GMT 2022","18746","","Blog page","","Blog page","should contain the name of the filters by content in the header of the articles","should contain the name of the filters by content in the header of the articles",""
"passed","Wed Oct 26 00:59:11 GMT 2022","Wed Oct 26 00:59:13 GMT 2022","1958","","Blog page","","Blog page","should subscribe with right email","should subscribe with right email",""
"passed","Wed Oct 26 00:52:15 GMT 2022","Wed Oct 26 00:52:23 GMT 2022","7453","","Contact Us page","","Contact Us page","Form ""contact us"" with empty credentials","Form ""contact us"" with empty credentials",""
