"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 25 23:52:21 GMT 2022","Tue Oct 25 23:52:25 GMT 2022","4542","","Main page","","Main page","should after click on ""Talk to an expert"", switch to page Contact","should after click on ""Talk to an expert"", switch to page Contact",""
"broken","Tue Oct 25 23:53:32 GMT 2022","Tue Oct 25 23:54:32 GMT 2022","60028","","Main page","","Main page","should contain correct href for social links ","should contain correct href for social links ",""
"passed","Tue Oct 25 23:52:17 GMT 2022","Tue Oct 25 23:52:21 GMT 2022","3894","","Main page","","Main page","should after click on ""Sign up"", contain title Sign Up","should after click on ""Sign up"", contain title Sign Up",""
"passed","Tue Oct 25 23:58:05 GMT 2022","Tue Oct 25 23:58:29 GMT 2022","24216","","Register Page","","Register Page","should registration with correct credentials","should registration with correct credentials",""
"passed","Tue Oct 25 23:58:50 GMT 2022","Tue Oct 25 23:58:53 GMT 2022","2229","","Blog page","","Blog page","should subscribe with right email","should subscribe with right email",""
"passed","Tue Oct 25 23:52:25 GMT 2022","Tue Oct 25 23:52:28 GMT 2022","3121","","Main page","","Main page","should after move to Products, show right links","should after move to Products, show right links",""
"passed","Tue Oct 25 23:58:48 GMT 2022","Tue Oct 25 23:58:50 GMT 2022","2226","","Blog page","","Blog page","should subscribe with empty email","should subscribe with empty email",""
"passed","Tue Oct 25 23:52:28 GMT 2022","Tue Oct 25 23:52:32 GMT 2022","3526","","Main page","","Main page","should after move to Pricing, show right links","should after move to Pricing, show right links",""
"passed","Tue Oct 25 23:57:54 GMT 2022","Tue Oct 25 23:58:05 GMT 2022","10723","","Register Page","","Register Page","should registration with incorrect email credentials","should registration with incorrect email credentials",""
"passed","Tue Oct 25 23:51:46 GMT 2022","Tue Oct 25 23:52:04 GMT 2022","17845","","Contact Us page","","Contact Us page","Fill out the ""contact us"" form","Fill out the ""contact us"" form",""
"passed","Tue Oct 25 23:52:14 GMT 2022","Tue Oct 25 23:52:17 GMT 2022","3172","","Main page","","Main page","should has buttons on the page header","should has buttons on the page header",""
"broken","Tue Oct 25 23:58:34 GMT 2022","Tue Oct 25 23:58:34 GMT 2022","107","","Blog page","","Blog page","should contain the name of the filters by content in the header of the articles","should contain the name of the filters by content in the header of the articles",""
"passed","Tue Oct 25 23:59:00 GMT 2022","Tue Oct 25 23:59:04 GMT 2022","3890","","Blog page","","Blog page","should after click on ""ebook"", contain name book","should after click on ""ebook"", contain name book",""
"passed","Tue Oct 25 23:51:42 GMT 2022","Tue Oct 25 23:51:46 GMT 2022","4333","","Contact Us page","","Contact Us page","Form ""contact us"" with empty credentials","Form ""contact us"" with empty credentials",""
"passed","Tue Oct 25 23:58:56 GMT 2022","Tue Oct 25 23:59:00 GMT 2022","3882","","Blog page","","Blog page","should after click on ""Try for free"", contain title Sign Up","should after click on ""Try for free"", contain title Sign Up",""
"passed","Tue Oct 25 23:58:53 GMT 2022","Tue Oct 25 23:58:56 GMT 2022","3481","","Blog page","","Blog page","should after click on ""Talk to an expert"" link, switch to page Contact","should after click on ""Talk to an expert"" link, switch to page Contact",""
"broken","Tue Oct 25 23:52:32 GMT 2022","Tue Oct 25 23:53:32 GMT 2022","60044","","Main page","","Main page","should have the correct title of all product links","should have the correct title of all product links",""
"passed","Tue Oct 25 23:58:34 GMT 2022","Tue Oct 25 23:58:48 GMT 2022","14165","","Blog page","","Blog page","should contain the name of the filters by product in the header of the articles","should contain the name of the filters by product in the header of the articles",""
"passed","Tue Oct 25 23:57:44 GMT 2022","Tue Oct 25 23:57:54 GMT 2022","10149","","Register Page","","Register Page","should registration with empty credentials","should registration with empty credentials",""
"passed","Tue Oct 25 23:52:09 GMT 2022","Tue Oct 25 23:52:14 GMT 2022","4673","","Main page","","Main page","should show email on register page, after enter email on main page","should show email on register page, after enter email on main page",""
