"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 25 23:39:05 GMT 2022","Tue Oct 25 23:39:15 GMT 2022","10164","","Register Page","","Register Page","should registration with empty credentials","should registration with empty credentials",""
"passed","Tue Oct 25 23:39:15 GMT 2022","Tue Oct 25 23:39:26 GMT 2022","10841","","Register Page","","Register Page","should registration with incorrect email credentials","should registration with incorrect email credentials",""
"passed","Tue Oct 25 23:40:31 GMT 2022","Tue Oct 25 23:40:35 GMT 2022","3608","","Blog page","","Blog page","should after click on ""Talk to an expert"" link, switch to page Contact","should after click on ""Talk to an expert"" link, switch to page Contact",""
"passed","Tue Oct 25 23:33:32 GMT 2022","Tue Oct 25 23:33:38 GMT 2022","5872","","Main page","","Main page","should show email on register page, after enter email on main page","should show email on register page, after enter email on main page",""
"passed","Tue Oct 25 23:39:55 GMT 2022","Tue Oct 25 23:40:14 GMT 2022","18795","","Blog page","","Blog page","should contain the name of the filters by content in the header of the articles","should contain the name of the filters by content in the header of the articles",""
"passed","Tue Oct 25 23:33:52 GMT 2022","Tue Oct 25 23:33:55 GMT 2022","2897","","Main page","","Main page","should after move to Pricing, show right links","should after move to Pricing, show right links",""
"passed","Tue Oct 25 23:33:49 GMT 2022","Tue Oct 25 23:33:52 GMT 2022","3015","","Main page","","Main page","should after move to Products, show right links","should after move to Products, show right links",""
"passed","Tue Oct 25 23:40:35 GMT 2022","Tue Oct 25 23:40:39 GMT 2022","3722","","Blog page","","Blog page","should after click on ""Try for free"", contain title Sign Up","should after click on ""Try for free"", contain title Sign Up",""
"broken","Tue Oct 25 23:33:55 GMT 2022","Tue Oct 25 23:34:55 GMT 2022","60007","","Main page","","Main page","should have the correct title of all product links","should have the correct title of all product links",""
"passed","Tue Oct 25 23:40:27 GMT 2022","Tue Oct 25 23:40:29 GMT 2022","2152","","Blog page","","Blog page","should subscribe with empty email","should subscribe with empty email",""
"passed","Tue Oct 25 23:33:45 GMT 2022","Tue Oct 25 23:33:49 GMT 2022","3929","","Main page","","Main page","should after click on ""Talk to an expert"", switch to page Contact","should after click on ""Talk to an expert"", switch to page Contact",""
"passed","Tue Oct 25 23:40:29 GMT 2022","Tue Oct 25 23:40:31 GMT 2022","2406","","Blog page","","Blog page","should subscribe with right email","should subscribe with right email",""
"passed","Tue Oct 25 23:40:39 GMT 2022","Tue Oct 25 23:40:42 GMT 2022","3675","","Blog page","","Blog page","should after click on ""ebook"", contain name book","should after click on ""ebook"", contain name book",""
"passed","Tue Oct 25 23:40:14 GMT 2022","Tue Oct 25 23:40:27 GMT 2022","12836","","Blog page","","Blog page","should contain the name of the filters by product in the header of the articles","should contain the name of the filters by product in the header of the articles",""
"passed","Tue Oct 25 23:33:01 GMT 2022","Tue Oct 25 23:33:06 GMT 2022","4573","","Contact Us page","","Contact Us page","Form ""contact us"" with empty credentials","Form ""contact us"" with empty credentials",""
"passed","Tue Oct 25 23:33:06 GMT 2022","Tue Oct 25 23:33:23 GMT 2022","16817","","Contact Us page","","Contact Us page","Fill out the ""contact us"" form","Fill out the ""contact us"" form",""
"broken","Tue Oct 25 23:34:55 GMT 2022","Tue Oct 25 23:35:55 GMT 2022","60033","","Main page","","Main page","should contain correct href for social links ","should contain correct href for social links ",""
"passed","Tue Oct 25 23:33:41 GMT 2022","Tue Oct 25 23:33:45 GMT 2022","3936","","Main page","","Main page","should after click on ""Sign up"", contain title Sign Up","should after click on ""Sign up"", contain title Sign Up",""
"failed","Tue Oct 25 23:39:26 GMT 2022","Tue Oct 25 23:39:50 GMT 2022","23969","","Register Page","","Register Page","should registration with correct credentials","should registration with correct credentials",""
"passed","Tue Oct 25 23:33:38 GMT 2022","Tue Oct 25 23:33:41 GMT 2022","3136","","Main page","","Main page","should has buttons on the page header","should has buttons on the page header",""
