"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 25 22:01:07 GMT 2022","Tue Oct 25 22:01:12 GMT 2022","4962","","Main page","","Main page","should after click on ""Talk to an expert"", switch to page Contact","should after click on ""Talk to an expert"", switch to page Contact",""
"passed","Tue Oct 25 22:06:47 GMT 2022","Tue Oct 25 22:06:59 GMT 2022","11539","","Register Page","","Register Page","should registration with incorrect email credentials","should registration with incorrect email credentials",""
"passed","Tue Oct 25 22:07:32 GMT 2022","Tue Oct 25 22:07:51 GMT 2022","19691","","Blog page","","Blog page","should contain the name of the filters by content in the header of the articles","should contain the name of the filters by content in the header of the articles",""
"passed","Tue Oct 25 22:06:37 GMT 2022","Tue Oct 25 22:06:47 GMT 2022","10657","","Register Page","","Register Page","should registration with empty credentials","should registration with empty credentials",""
"passed","Tue Oct 25 22:08:07 GMT 2022","Tue Oct 25 22:08:10 GMT 2022","2948","","Blog page","","Blog page","should subscribe with right email","should subscribe with right email",""
"passed","Tue Oct 25 22:01:16 GMT 2022","Tue Oct 25 22:01:24 GMT 2022","7517","","Main page","","Main page","should after move to Pricing, show right links","should after move to Pricing, show right links",""
"passed","Tue Oct 25 22:00:19 GMT 2022","Tue Oct 25 22:00:24 GMT 2022","4734","","Contact Us page","","Contact Us page","Form ""contact us"" with empty credentials","Form ""contact us"" with empty credentials",""
"passed","Tue Oct 25 22:08:10 GMT 2022","Tue Oct 25 22:08:14 GMT 2022","4282","","Blog page","","Blog page","should after click on ""Talk to an expert"" link, switch to page Contact","should after click on ""Talk to an expert"" link, switch to page Contact",""
"passed","Tue Oct 25 22:00:52 GMT 2022","Tue Oct 25 22:00:58 GMT 2022","6774","","Main page","","Main page","should show email on register page, after enter email on main page","should show email on register page, after enter email on main page",""
"failed","Tue Oct 25 22:06:59 GMT 2022","Tue Oct 25 22:07:24 GMT 2022","25068","","Register Page","","Register Page","should registration with correct credentials","should registration with correct credentials",""
"broken","Tue Oct 25 22:02:24 GMT 2022","Tue Oct 25 22:03:24 GMT 2022","60043","","Main page","","Main page","should contain correct href for social links ","should contain correct href for social links ",""
"passed","Tue Oct 25 22:08:04 GMT 2022","Tue Oct 25 22:08:07 GMT 2022","2376","","Blog page","","Blog page","should subscribe with empty email","should subscribe with empty email",""
"passed","Tue Oct 25 22:01:12 GMT 2022","Tue Oct 25 22:01:16 GMT 2022","3748","","Main page","","Main page","should after move to Products, show right links","should after move to Products, show right links",""
"broken","Tue Oct 25 22:01:24 GMT 2022","Tue Oct 25 22:02:24 GMT 2022","60018","","Main page","","Main page","should have the correct title of all product links","should have the correct title of all product links",""
"passed","Tue Oct 25 22:00:24 GMT 2022","Tue Oct 25 22:00:42 GMT 2022","18725","","Contact Us page","","Contact Us page","Fill out the ""contact us"" form","Fill out the ""contact us"" form",""
"passed","Tue Oct 25 22:07:51 GMT 2022","Tue Oct 25 22:08:04 GMT 2022","13083","","Blog page","","Blog page","should contain the name of the filters by product in the header of the articles","should contain the name of the filters by product in the header of the articles",""
"passed","Tue Oct 25 22:00:58 GMT 2022","Tue Oct 25 22:01:02 GMT 2022","3528","","Main page","","Main page","should has buttons on the page header","should has buttons on the page header",""
"passed","Tue Oct 25 22:08:18 GMT 2022","Tue Oct 25 22:08:26 GMT 2022","7578","","Blog page","","Blog page","should after click on ""ebook"", contain name book","should after click on ""ebook"", contain name book",""
"passed","Tue Oct 25 22:08:14 GMT 2022","Tue Oct 25 22:08:18 GMT 2022","4224","","Blog page","","Blog page","should after click on ""Try for free"", contain title Sign Up","should after click on ""Try for free"", contain title Sign Up",""
"passed","Tue Oct 25 22:01:02 GMT 2022","Tue Oct 25 22:01:07 GMT 2022","5359","","Main page","","Main page","should after click on ""Sign up"", contain title Sign Up","should after click on ""Sign up"", contain title Sign Up",""
