"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 26 01:15:26 GMT 2022","Wed Oct 26 01:15:37 GMT 2022","10965","","Register Page","","Register Page","should registration with empty credentials","should registration with empty credentials",""
"passed","Wed Oct 26 01:09:52 GMT 2022","Wed Oct 26 01:10:00 GMT 2022","8139","","Main page","","Main page","should after click on ""Talk to an expert"", switch to page Contact","should after click on ""Talk to an expert"", switch to page Contact",""
"passed","Wed Oct 26 01:16:29 GMT 2022","Wed Oct 26 01:16:32 GMT 2022","3424","","Blog page","","Blog page","should after click on ""Talk to an expert"" link, switch to page Contact","should after click on ""Talk to an expert"" link, switch to page Contact",""
"passed","Wed Oct 26 01:13:14 GMT 2022","Wed Oct 26 01:13:25 GMT 2022","11111","","Register Page","","Register Page","should registration with empty credentials","should registration with empty credentials",""
"passed","Wed Oct 26 01:09:32 GMT 2022","Wed Oct 26 01:09:41 GMT 2022","9133","","Main page","","Main page","should show email on register page, after enter email on main page","should show email on register page, after enter email on main page",""
"passed","Wed Oct 26 01:15:07 GMT 2022","Wed Oct 26 01:15:12 GMT 2022","4886","","Blog page","","Blog page","should after click on ""ebook"", contain name book","should after click on ""ebook"", contain name book",""
"passed","Wed Oct 26 01:14:14 GMT 2022","Wed Oct 26 01:14:35 GMT 2022","21100","","Blog page","","Blog page","should contain the name of the filters by content in the header of the articles","should contain the name of the filters by content in the header of the articles",""
"passed","Wed Oct 26 01:09:45 GMT 2022","Wed Oct 26 01:09:52 GMT 2022","6478","","Main page","","Main page","should after click on ""Sign up"", contain title Sign Up","should after click on ""Sign up"", contain title Sign Up",""
"failed","Wed Oct 26 01:13:38 GMT 2022","Wed Oct 26 01:14:04 GMT 2022","25765","","Register Page","","Register Page","should registration with correct credentials","should registration with correct credentials",""
"passed","Wed Oct 26 01:16:10 GMT 2022","Wed Oct 26 01:16:23 GMT 2022","13497","","Blog page","","Blog page","should contain the name of the filters by product in the header of the articles","should contain the name of the filters by product in the header of the articles",""
"passed","Wed Oct 26 01:14:57 GMT 2022","Wed Oct 26 01:14:59 GMT 2022","2078","","Blog page","","Blog page","should after click on ""Talk to an expert"" link, switch to page Contact","should after click on ""Talk to an expert"" link, switch to page Contact",""
"passed","Wed Oct 26 01:14:51 GMT 2022","Wed Oct 26 01:14:54 GMT 2022","2796","","Blog page","","Blog page","should subscribe with empty email","should subscribe with empty email",""
"passed","Wed Oct 26 01:13:00 GMT 2022","Wed Oct 26 01:13:03 GMT 2022","3161","","Main page","","Main page","should contain correct href for social links ","should contain correct href for social links ",""
"broken","Wed Oct 26 01:10:09 GMT 2022","Wed Oct 26 01:11:09 GMT 2022","60024","","Main page","","Main page","should have the correct title of all product links","should have the correct title of all product links",""
"passed","Wed Oct 26 01:08:59 GMT 2022","Wed Oct 26 01:09:10 GMT 2022","11366","","Contact Us page","","Contact Us page","Form ""contact us"" with empty credentials","Form ""contact us"" with empty credentials",""
"broken","Wed Oct 26 01:09:57 GMT 2022","Wed Oct 26 01:10:00 GMT 2022","2333","","Main page","","Main page","should after click on ""Talk to an expert"", switch to page Contact","should after click on ""Talk to an expert"", switch to page Contact",""
"passed","Wed Oct 26 01:09:10 GMT 2022","Wed Oct 26 01:09:25 GMT 2022","15006","","Contact Us page","","Contact Us page","Fill out the ""contact us"" form","Fill out the ""contact us"" form",""
"passed","Wed Oct 26 01:16:32 GMT 2022","Wed Oct 26 01:16:36 GMT 2022","4071","","Blog page","","Blog page","should after click on ""Try for free"", contain title Sign Up","should after click on ""Try for free"", contain title Sign Up",""
"passed","Wed Oct 26 01:14:35 GMT 2022","Wed Oct 26 01:14:51 GMT 2022","15915","","Blog page","","Blog page","should contain the name of the filters by product in the header of the articles","should contain the name of the filters by product in the header of the articles",""
"failed","Wed Oct 26 01:09:50 GMT 2022","Wed Oct 26 01:09:54 GMT 2022","3410","","Main page","","Main page","should has buttons on the page header","should has buttons on the page header",""
"broken","Wed Oct 26 01:09:54 GMT 2022","Wed Oct 26 01:09:57 GMT 2022","3540","","Main page","","Main page","should after click on ""Sign up"", contain title Sign Up","should after click on ""Sign up"", contain title Sign Up",""
"failed","Wed Oct 26 01:15:49 GMT 2022","Wed Oct 26 01:16:17 GMT 2022","27519","","Register Page","","Register Page","should registration with correct credentials","should registration with correct credentials",""
