"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 26 00:26:27 GMT 2022","Wed Oct 26 00:26:37 GMT 2022","10387","","Register Page","","Register Page","should registration with empty credentials","should registration with empty credentials",""
"passed","Wed Oct 26 00:27:36 GMT 2022","Wed Oct 26 00:27:38 GMT 2022","2255","","Blog page","","Blog page","should subscribe with empty email","should subscribe with empty email",""
"passed","Wed Oct 26 00:21:06 GMT 2022","Wed Oct 26 00:21:09 GMT 2022","3352","","Main page","","Main page","should after click on ""Talk to an expert"", switch to page Contact","should after click on ""Talk to an expert"", switch to page Contact",""
"broken","Wed Oct 26 00:27:22 GMT 2022","Wed Oct 26 00:27:22 GMT 2022","53","","Blog page","","Blog page","should contain the name of the filters by content in the header of the articles","should contain the name of the filters by content in the header of the articles",""
"passed","Wed Oct 26 00:27:22 GMT 2022","Wed Oct 26 00:27:36 GMT 2022","14197","","Blog page","","Blog page","should contain the name of the filters by product in the header of the articles","should contain the name of the filters by product in the header of the articles",""
"passed","Wed Oct 26 00:26:37 GMT 2022","Wed Oct 26 00:26:48 GMT 2022","10657","","Register Page","","Register Page","should registration with incorrect email credentials","should registration with incorrect email credentials",""
"failed","Wed Oct 26 00:26:48 GMT 2022","Wed Oct 26 00:27:12 GMT 2022","24354","","Register Page","","Register Page","should registration with correct credentials","should registration with correct credentials",""
"passed","Wed Oct 26 00:20:23 GMT 2022","Wed Oct 26 00:20:27 GMT 2022","3797","","Contact Us page","","Contact Us page","Form ""contact us"" with empty credentials","Form ""contact us"" with empty credentials",""
"broken","Wed Oct 26 00:21:15 GMT 2022","Wed Oct 26 00:22:15 GMT 2022","60017","","Main page","","Main page","should have the correct title of all product links","should have the correct title of all product links",""
"passed","Wed Oct 26 00:27:38 GMT 2022","Wed Oct 26 00:27:41 GMT 2022","2313","","Blog page","","Blog page","should subscribe with right email","should subscribe with right email",""
"broken","Wed Oct 26 00:22:15 GMT 2022","Wed Oct 26 00:23:15 GMT 2022","60035","","Main page","","Main page","should contain correct href for social links ","should contain correct href for social links ",""
"passed","Wed Oct 26 00:27:43 GMT 2022","Wed Oct 26 00:27:47 GMT 2022","3684","","Blog page","","Blog page","should after click on ""Try for free"", contain title Sign Up","should after click on ""Try for free"", contain title Sign Up",""
"passed","Wed Oct 26 00:20:59 GMT 2022","Wed Oct 26 00:21:02 GMT 2022","3121","","Main page","","Main page","should has buttons on the page header","should has buttons on the page header",""
"passed","Wed Oct 26 00:21:13 GMT 2022","Wed Oct 26 00:21:15 GMT 2022","2231","","Main page","","Main page","should after move to Pricing, show right links","should after move to Pricing, show right links",""
"passed","Wed Oct 26 00:20:27 GMT 2022","Wed Oct 26 00:20:43 GMT 2022","16584","","Contact Us page","","Contact Us page","Fill out the ""contact us"" form","Fill out the ""contact us"" form",""
"passed","Wed Oct 26 00:21:02 GMT 2022","Wed Oct 26 00:21:06 GMT 2022","3434","","Main page","","Main page","should after click on ""Sign up"", contain title Sign Up","should after click on ""Sign up"", contain title Sign Up",""
"passed","Wed Oct 26 00:21:09 GMT 2022","Wed Oct 26 00:21:13 GMT 2022","3354","","Main page","","Main page","should after move to Products, show right links","should after move to Products, show right links",""
"passed","Wed Oct 26 00:27:47 GMT 2022","Wed Oct 26 00:27:50 GMT 2022","3134","","Blog page","","Blog page","should after click on ""ebook"", contain name book","should after click on ""ebook"", contain name book",""
"passed","Wed Oct 26 00:20:53 GMT 2022","Wed Oct 26 00:20:59 GMT 2022","5920","","Main page","","Main page","should show email on register page, after enter email on main page","should show email on register page, after enter email on main page",""
"passed","Wed Oct 26 00:27:41 GMT 2022","Wed Oct 26 00:27:43 GMT 2022","2308","","Blog page","","Blog page","should after click on ""Talk to an expert"" link, switch to page Contact","should after click on ""Talk to an expert"" link, switch to page Contact",""
