"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 26 08:27:38 GMT 2022","Wed Oct 26 08:27:44 GMT 2022","5930","","Blog page","","Blog page","should after click on ""Try for free"", contain title Sign Up","should after click on ""Try for free"", contain title Sign Up",""
"passed","Wed Oct 26 08:25:55 GMT 2022","Wed Oct 26 08:25:57 GMT 2022","2424","","Main page","","Main page","should contain correct href for social links ","should contain correct href for social links ",""
"passed","Wed Oct 26 08:31:37 GMT 2022","Wed Oct 26 08:31:39 GMT 2022","1948","","Blog page","","Blog page","should subscribe with right email","should subscribe with right email",""
"passed","Wed Oct 26 08:31:39 GMT 2022","Wed Oct 26 08:31:42 GMT 2022","2769","","Blog page","","Blog page","should after click on ""Talk to an expert"" link, switch to page Contact","should after click on ""Talk to an expert"" link, switch to page Contact",""
"passed","Wed Oct 26 08:25:05 GMT 2022","Wed Oct 26 08:25:12 GMT 2022","6577","","Main page","","Main page","should after move to Products, show right links","should after move to Products, show right links",""
"passed","Wed Oct 26 08:30:35 GMT 2022","Wed Oct 26 08:30:46 GMT 2022","10933","","Register Page","","Register Page","should registration with incorrect email credentials","should registration with incorrect email credentials",""
"passed","Wed Oct 26 08:31:42 GMT 2022","Wed Oct 26 08:31:44 GMT 2022","2909","","Blog page","","Blog page","should after click on ""Try for free"", contain title Sign Up","should after click on ""Try for free"", contain title Sign Up",""
"broken","Wed Oct 26 08:25:16 GMT 2022","Wed Oct 26 08:26:56 GMT 2022","100023","","Main page","","Main page","should have the correct title of all product links","should have the correct title of all product links",""
"passed","Wed Oct 26 08:25:05 GMT 2022","Wed Oct 26 08:25:10 GMT 2022","4049","","Main page","","Main page","should after move to Pricing, show right links","should after move to Pricing, show right links",""
"passed","Wed Oct 26 08:24:59 GMT 2022","Wed Oct 26 08:25:05 GMT 2022","6493","","Main page","","Main page","should after click on ""Talk to an expert"", switch to page Contact","should after click on ""Talk to an expert"", switch to page Contact",""
"passed","Wed Oct 26 08:27:32 GMT 2022","Wed Oct 26 08:27:34 GMT 2022","2027","","Blog page","","Blog page","should subscribe with empty email","should subscribe with empty email",""
"passed","Wed Oct 26 08:25:12 GMT 2022","Wed Oct 26 08:25:16 GMT 2022","4139","","Main page","","Main page","should after move to Pricing, show right links","should after move to Pricing, show right links",""
"passed","Wed Oct 26 08:27:18 GMT 2022","Wed Oct 26 08:27:32 GMT 2022","13395","","Blog page","","Blog page","should contain the name of the filters by product in the header of the articles","should contain the name of the filters by product in the header of the articles",""
"passed","Wed Oct 26 08:25:02 GMT 2022","Wed Oct 26 08:25:05 GMT 2022","3512","","Main page","","Main page","should after move to Products, show right links","should after move to Products, show right links",""
"passed","Wed Oct 26 08:24:41 GMT 2022","Wed Oct 26 08:24:48 GMT 2022","7540","","Main page","","Main page","should show email on register page, after enter email on main page","should show email on register page, after enter email on main page",""
"passed","Wed Oct 26 08:27:34 GMT 2022","Wed Oct 26 08:27:36 GMT 2022","2639","","Blog page","","Blog page","should subscribe with right email","should subscribe with right email",""
"passed","Wed Oct 26 08:24:14 GMT 2022","Wed Oct 26 08:24:32 GMT 2022","18361","","Contact Us page","","Contact Us page","Fill out the ""contact us"" form","Fill out the ""contact us"" form",""
