"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 25 22:28:12 GMT 2022","Tue Oct 25 22:28:29 GMT 2022","16993","","Contact Us page","","Contact Us page","Fill out the ""contact us"" form","Fill out the ""contact us"" form",""
"passed","Tue Oct 25 22:34:11 GMT 2022","Tue Oct 25 22:34:21 GMT 2022","10196","","Register Page","","Register Page","should registration with empty credentials","should registration with empty credentials",""
"broken","Tue Oct 25 22:28:58 GMT 2022","Tue Oct 25 22:29:58 GMT 2022","60009","","Main page","","Main page","should have the correct title of all product links","should have the correct title of all product links",""
"passed","Tue Oct 25 22:35:44 GMT 2022","Tue Oct 25 22:35:49 GMT 2022","5142","","Blog page","","Blog page","should after click on ""ebook"", contain name book","should after click on ""ebook"", contain name book",""
"passed","Tue Oct 25 22:28:52 GMT 2022","Tue Oct 25 22:28:55 GMT 2022","3531","","Main page","","Main page","should after move to Products, show right links","should after move to Products, show right links",""
"passed","Tue Oct 25 22:35:01 GMT 2022","Tue Oct 25 22:35:20 GMT 2022","19064","","Blog page","","Blog page","should contain the name of the filters by content in the header of the articles","should contain the name of the filters by content in the header of the articles",""
"passed","Tue Oct 25 22:28:45 GMT 2022","Tue Oct 25 22:28:48 GMT 2022","3502","","Main page","","Main page","should after click on ""Sign up"", contain title Sign Up","should after click on ""Sign up"", contain title Sign Up",""
"passed","Tue Oct 25 22:28:55 GMT 2022","Tue Oct 25 22:28:58 GMT 2022","2762","","Main page","","Main page","should after move to Pricing, show right links","should after move to Pricing, show right links",""
"passed","Tue Oct 25 22:35:36 GMT 2022","Tue Oct 25 22:35:40 GMT 2022","3576","","Blog page","","Blog page","should after click on ""Talk to an expert"" link, switch to page Contact","should after click on ""Talk to an expert"" link, switch to page Contact",""
"passed","Tue Oct 25 22:34:21 GMT 2022","Tue Oct 25 22:34:31 GMT 2022","10694","","Register Page","","Register Page","should registration with incorrect email credentials","should registration with incorrect email credentials",""
"passed","Tue Oct 25 22:35:34 GMT 2022","Tue Oct 25 22:35:36 GMT 2022","2375","","Blog page","","Blog page","should subscribe with right email","should subscribe with right email",""
"passed","Tue Oct 25 22:35:40 GMT 2022","Tue Oct 25 22:35:44 GMT 2022","3912","","Blog page","","Blog page","should after click on ""Try for free"", contain title Sign Up","should after click on ""Try for free"", contain title Sign Up",""
"passed","Tue Oct 25 22:28:36 GMT 2022","Tue Oct 25 22:28:41 GMT 2022","5490","","Main page","","Main page","should show email on register page, after enter email on main page","should show email on register page, after enter email on main page",""
"passed","Tue Oct 25 22:28:41 GMT 2022","Tue Oct 25 22:28:45 GMT 2022","3453","","Main page","","Main page","should has buttons on the page header","should has buttons on the page header",""
"failed","Tue Oct 25 22:34:31 GMT 2022","Tue Oct 25 22:34:56 GMT 2022","24241","","Register Page","","Register Page","should registration with correct credentials","should registration with correct credentials",""
"passed","Tue Oct 25 22:28:48 GMT 2022","Tue Oct 25 22:28:52 GMT 2022","3466","","Main page","","Main page","should after click on ""Talk to an expert"", switch to page Contact","should after click on ""Talk to an expert"", switch to page Contact",""
"passed","Tue Oct 25 22:35:20 GMT 2022","Tue Oct 25 22:35:32 GMT 2022","12303","","Blog page","","Blog page","should contain the name of the filters by product in the header of the articles","should contain the name of the filters by product in the header of the articles",""
"passed","Tue Oct 25 22:35:32 GMT 2022","Tue Oct 25 22:35:34 GMT 2022","1980","","Blog page","","Blog page","should subscribe with empty email","should subscribe with empty email",""
"broken","Tue Oct 25 22:29:58 GMT 2022","Tue Oct 25 22:30:58 GMT 2022","60030","","Main page","","Main page","should contain correct href for social links ","should contain correct href for social links ",""
"passed","Tue Oct 25 22:28:07 GMT 2022","Tue Oct 25 22:28:12 GMT 2022","4550","","Contact Us page","","Contact Us page","Form ""contact us"" with empty credentials","Form ""contact us"" with empty credentials",""
